Source sentence,Answer sentence,event1,event2,label,type
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",handcuffed is the cause of fleeing ,handcuffed ,fleeing ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",took is the cause of fleeing ,took ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",convicted is the cause of fleeing ,convicted ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",sentences is the cause of fleeing ,sentences ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",convicted is the cause of fleeing ,convicted ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",took is the cause of Runs ,took ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",needed is the cause of Runs ,needed ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",Handcuffs is the cause of fleeing ,Handcuffs ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",handcuffed is the cause of Runs ,handcuffed ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",pulled on is the cause of fleeing ,pulled on ,fleeing ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",fleeing is the cause of lockdown ,fleeing ,lockdown ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",sentenced is the cause of fleeing ,sentenced ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",handcuffed is the cause of fleeing ,handcuffed ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",pulled on is the cause of fleeing ,pulled on ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",held hostage is the cause of escape ,held hostage ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",Handcuffs is the cause of fleeing ,Handcuffs ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",transfer is the cause of fleeing ,transfer ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",sentences is the cause of Runs ,sentences ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",pulled on is the cause of escape ,pulled on ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",transfer is the cause of fleeing ,transfer ,fleeing ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",transfer is the cause of Runs ,transfer ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",held hostage is the cause of fleeing ,held hostage ,fleeing ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",move is the cause of escape ,move ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",convicted is the cause of Runs ,convicted ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",convicted is the cause of Runs ,convicted ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",escape is the cause of lockdown ,escape ,lockdown ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",convicted is the cause of fleeing ,convicted ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",sentenced is the cause of fleeing ,sentenced ,fleeing ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",convicted is the cause of fleeing ,convicted ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",help is the cause of fleeing ,help ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",needed is the cause of fleeing ,needed ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",move is the cause of fleeing ,move ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston . ",sentenced is the cause of sentence ,sentenced ,sentence ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",transfer is the cause of escape ,transfer ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",move is the cause of Runs ,move ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",needed is the cause of escape ,needed ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",held hostage is the cause of fleeing ,held hostage ,fleeing ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Comeaux also injured a man who was visiting another inmate at the time and tried to stop the attack . ,tried is the cause of injured ,tried ,injured ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",sentenced is the cause of escape ,sentenced ,escape ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Comeaux also injured a man who was visiting another inmate at the time and tried to stop the attack . ,attack is the cause of injured ,attack ,injured ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",fleeing is the cause of lockdown ,fleeing ,lockdown ,Cause-Effect,inter
 causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . ,convicted is the cause of sentences ,convicted ,sentences ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",Runs is the cause of lockdown ,Runs ,lockdown ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",held hostage is the cause of Runs ,held hostage ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",took is the cause of escape ,took ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",sentences is the cause of fleeing ,sentences ,fleeing ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",took is the cause of fleeing ,took ,fleeing ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",Pulls On is the cause of Runs ,Pulls On ,Runs ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",pulled on is the cause of Runs ,pulled on ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",convicted is the cause of life in prison ,convicted ,life in prison ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",Pulls On is the cause of escape ,Pulls On ,escape ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away ",sentenced is the cause of Runs ,sentenced ,Runs ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . ",stabbing has no relation to said ,stabbing ,said ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",transfer has no relation to life in prison ,transfer ,life in prison ,NONE,intra
" causal </s></s> unrelated </s></s> The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . She survived the attack . ",triggered has no relation to attack ,triggered ,attack ,NONE,inter
" causal </s></s> unrelated </s></s> Comeaux also injured a man who was visiting another inmate at the time and tried to stop the attack . A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",visiting has no relation to pulled on ,visiting ,pulled on ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . ",said has no relation to visited ,said ,visited ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . ",said has no relation to convicted ,said ,convicted ,NONE,inter
" causal </s></s> unrelated </s></s> She survived the attack . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",attack has no relation to lockdown ,attack ,lockdown ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . ",sentenced has no relation to triggered ,sentenced ,triggered ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",held hostage has no relation to life in prison ,held hostage ,life in prison ,NONE,intra
" causal </s></s> unrelated </s></s> She survived the attack . Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . ",attack has no relation to handcuffed ,attack ,handcuffed ,NONE,inter
" causal </s></s> unrelated </s></s> Comeaux , 49 , took the officers' weapons and handcuffed them together in the back of the vehicle before fleeing on foot at around 9 a . m . , Lyons said . Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . ",fleeing has no relation to given ,fleeing ,given ,NONE,inter
" causal </s></s> unrelated </s></s> She survived the attack . At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . ",survived has no relation to said ,survived ,said ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . Comeaux also injured a man who was visiting another inmate at the time and tried to stop the attack . ",life in prison has no relation to attack ,life in prison ,attack ,NONE,inter
" causal </s></s> unrelated </s></s> The escape triggered a lockdown at Lee College and three campuses in the Goose Creek school district , in and around Baytown . She survived the attack . ",escape has no relation to survived ,escape ,survived ,NONE,inter
" causal </s></s> unrelated </s></s> A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . She survived the attack . ",held hostage has no relation to survived ,held hostage ,survived ,NONE,inter
 causal </s></s> unrelated </s></s> She survived the attack . Comeaux also injured a man who was visiting another inmate at the time and tried to stop the attack . ,survived has no relation to tried ,survived ,tried ,NONE,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . He was serving a life sentence after being convicted in June 1998 of aggravated sexual assault out of Brazos County , located northwest of Houston . ",given has no relation to serving ,given ,serving ,NONE,inter
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr , Prison Inmate , Pulls Gun On And Handcuffs Guards , Runs Away A convicted sex offender sentenced to life in prison pulled a gun on two guards during a prison transfer Monday and held them hostage temporarily before fleeing on foot in one of the guard's uniforms , authorities said . ",Runs has no relation to said ,Runs ,said ,NONE,inter
" causal </s></s> unrelated </s></s> Comeaux was given two extra life sentences after being convicted for stabbing his wife and another person in 1999 while she visited him in prison . At the time of the escape , the inmate was in a wheelchair , which he claimed he needed to help move him around , officials said . ",stabbing has no relation to move ,stabbing ,move ,NONE,inter
" causal </s></s> unrelated </s></s> Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" Described as a 6 - feet tall and weighing approximately 200 pounds , Lyons warned that Comeaux knows the area where he escaped well and could have family nearby . ",used is the cause of escaped ,used ,escaped ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . ",overpowered is the cause of walked ,overpowered ,walked ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> His wife survived , but another inmate who tried to break up the attack also suffered stab wounds , and Comeaux was convicted of additional assault charges and received two additional life sentences . ",break up is the cause of suffered ,break up ,suffered ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Between 1991 and 1998 , Comeaux was in and out of prison on parole violations until he finally returned to prison in June 1999 to serve a life sentence for aggravated sexual assault . ",violations is the cause of returned ,violations ,returned ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" ",wearing is the cause of fled ,wearing ,fled ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" ",handcuffed is the cause of fled ,handcuffed ,fled ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> His supervision was revoked and he returned to prison in May 1984 with a new charge of indecency with a child , given a new 20 year sentence . ",indecency is the cause of returned ,indecency ,returned ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Convicted Child Molestor Arcade Joseph Comeaux Jr . On The Lam in Texas ",stole is the cause of On The Lam ,stole ,On The Lam ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Described as a 6 - feet tall and weighing approximately 200 pounds , Lyons warned that Comeaux knows the area where he escaped well and could have family nearby . ",stole is the cause of escaped ,stole ,escaped ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He initially was imprisoned on February 1979 on three 10 - year sentences for rape of a child , aggravated rape of a child , and burglary of a building with the intent to commit theft . A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . ",imprisoned is the cause of walked ,imprisoned ,walked ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He initially was imprisoned on February 1979 on three 10 - year sentences for rape of a child , aggravated rape of a child , and burglary of a building with the intent to commit theft . ",theft is the cause of sentences ,theft ,sentences ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Arcade Joseph Comeaux Jr . , 49 , is serving a life sentence for several charges – including indecency with a child – and was en route from the Estelle Unit in Huntsville , Texas , to the Stiles Unit in Beaumont , Texas , when he escaped just after 9 a . m . ",wearing is the cause of escaped ,wearing ,escaped ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" ",used is the cause of fled ,used ,fled ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> His supervision was revoked and he returned to prison in May 1984 with a new charge of indecency with a child , given a new 20 year sentence . ",revoked is the cause of returned ,revoked ,returned ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Described as a 6 - feet tall and weighing approximately 200 pounds , Lyons warned that Comeaux knows the area where he escaped well and could have family nearby . Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" ",escaped is the cause of question ,escaped ,question ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . ",handcuffed is the cause of walked ,handcuffed ,walked ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . Convicted Child Molestor Arcade Joseph Comeaux Jr . On The Lam in Texas ",overpowered is the cause of On The Lam ,overpowered ,On The Lam ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He initially was imprisoned on February 1979 on three 10 - year sentences for rape of a child , aggravated rape of a child , and burglary of a building with the intent to commit theft . Convicted Child Molestor Arcade Joseph Comeaux Jr . On The Lam in Texas ",imprisoned is the cause of On The Lam ,imprisoned ,On The Lam ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . ",used is the cause of walked ,used ,walked ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr . , 49 , is serving a life sentence for several charges – including indecency with a child – and was en route from the Estelle Unit in Huntsville , Texas , to the Stiles Unit in Beaumont , Texas , when he escaped just after 9 a . m . A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . ",sentence is the cause of walked ,sentence ,walked ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> He initially was imprisoned on February 1979 on three 10 - year sentences for rape of a child , aggravated rape of a child , and burglary of a building with the intent to commit theft . Lyons said that Comeaux used a wheelchair in prison – he ""claimed it was necessary for his mobility"" – and added , ""Since he fled on foot , that's obviously in question . "" ",imprisoned is the cause of fled ,imprisoned ,fled ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Between 1991 and 1998 , Comeaux was in and out of prison on parole violations until he finally returned to prison in June 1999 to serve a life sentence for aggravated sexual assault . ",sentence is the cause of returned ,sentence ,returned ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> A convicted child molester who was supposedly confined to a wheelchair overpowered two prison guards today , handcuffed them , stole their weapons and walked off wearing one of their uniforms . ",handcuffed is the cause of overpowered ,handcuffed ,overpowered ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Arcade Joseph Comeaux Jr . , 49 , is serving a life sentence for several charges – including indecency with a child – and was en route from the Estelle Unit in Huntsville , Texas , to the Stiles Unit in Beaumont , Texas , when he escaped just after 9 a . m . Described as a 6 - feet tall and weighing approximately 200 pounds , Lyons warned that Comeaux knows the area where he escaped well and could have family nearby . ",sentence is the cause of escaped ,sentence ,escaped ,Cause-Effect,inter
